"id","url","scraped_at"
1,"https://www.sciencemag.org/careers/1998/04/fewer-minorities-under-new-nsf-rules","2019-10-27 10:02:39"
2,"https://www.sciencemag.org/careers/1998/04/ins-and-outs-university-career-days","2019-10-27 10:02:41"
3,"https://www.sciencemag.org/careers/1998/03/its-april-and-i-still-dont-have-job-panicked-scientists-guide-accelerated-job-searches","2019-10-27 10:02:42"
4,"https://www.sciencemag.org/careers/1998/02/self-assessment-exercises-gre-your-ego-and-superego","2019-10-27 10:02:44"
5,"https://www.sciencemag.org/careers/1998/02/path-cv","2019-10-27 10:02:45"
6,"https://www.sciencemag.org/careers/1998/01/tooling-book-club-market","2019-10-27 10:02:46"
7,"https://www.sciencemag.org/careers/1998/01/how-handle-backwoods-biotechnology","2019-10-27 10:02:48"
8,"https://www.sciencemag.org/careers/1997/09/dressing-scientists-success-male-case-study","2019-10-27 10:02:50"
9,"https://www.sciencemag.org/careers/1997/09/what-are-headhunters-and-how-do-they-work","2019-10-27 10:02:52"
10,"https://www.sciencemag.org/careers/1997/05/his-mother-cried-when-he-went-sales","2019-10-27 10:02:53"
11,"https://www.sciencemag.org/careers/1996/12/commandments-cover-letter-creation","2019-10-27 10:02:55"
12,"https://www.sciencemag.org/careers/1996/10/how-write-winning-r-sum","2019-10-27 10:02:56"
13,"https://www.sciencemag.org/careers/1999/01/regional-hot-spots-biotech","2019-10-27 10:03:00"
14,"https://www.sciencemag.org/careers/1999/01/industry-insider-index","2019-10-27 10:03:01"
15,"https://www.sciencemag.org/careers/1998/12/what-do-when-your-adviser-goes-too-far-part-i","2019-10-27 10:03:03"
16,"https://www.sciencemag.org/careers/1998/12/preventing-burnout-learning-about-whys-job-satisfaction","2019-10-27 10:03:05"
17,"https://www.sciencemag.org/careers/1998/11/postdoc-bill-rights","2019-10-27 10:03:07"
18,"https://www.sciencemag.org/careers/1998/11/reprints-pressures-publish-fuel-professionalization-todays-graduate-students","2019-10-27 10:03:08"
19,"https://www.sciencemag.org/careers/1998/11/how-present-your-weaknesses-during-interviews","2019-10-27 10:03:10"
20,"https://www.sciencemag.org/careers/1998/10/dressing-scientists-success-female-case-study","2019-10-27 10:03:12"
21,"https://www.sciencemag.org/careers/1998/10/scientists-attitudes-and-job-search-getting-when-times-are-down","2019-10-27 10:03:14"
22,"https://www.sciencemag.org/careers/1998/09/millennial-trends-science-employment","2019-10-27 10:03:16"
23,"https://www.sciencemag.org/careers/1998/09/step-step-protocol-networking-part-two","2019-10-27 10:03:17"
24,"https://www.sciencemag.org/careers/1998/09/reprints-advice-postdocs","2019-10-27 10:03:19"
25,"https://www.sciencemag.org/careers/1998/09/reprints-professors-found-be-lonely-first-tenure-track-posts","2019-10-27 10:03:20"
26,"https://www.sciencemag.org/careers/1998/08/resume-makeover","2019-10-27 10:03:22"
27,"https://www.sciencemag.org/careers/1998/08/reprints-postdocs-seeing-little-way-academic-job-market-seek-better-terms-lab","2019-10-27 10:03:23"
28,"https://www.sciencemag.org/careers/1998/08/step-step-protocol-networking-part-one","2019-10-27 10:03:24"
29,"https://www.sciencemag.org/careers/1998/07/overcoming-bad-habits-you-learned-grad-school","2019-10-27 10:03:25"
30,"https://www.sciencemag.org/careers/1998/07/interviewing-skills-what-do-when-they-say-tell-me-about-yourself","2019-10-27 10:03:27"
31,"https://www.sciencemag.org/careers/1998/06/im-too-busy-1-obstacle-successful-career-development-insufficient-time","2019-10-27 10:03:29"
32,"https://www.sciencemag.org/careers/1998/06/forecasting-compatibility-how-select-your-new-boss","2019-10-27 10:03:30"
33,"https://www.sciencemag.org/careers/1998/06/reprints-contracts-replace-tenure-track-growing-number-professors","2019-10-27 10:03:32"
34,"https://www.sciencemag.org/careers/1998/05/next-wave-updates","2019-10-27 10:03:33"
35,"https://www.sciencemag.org/careers/1998/05/tooling-book-club-alternative-careers-science-leaving-ivory-tower","2019-10-27 10:03:34"
36,"https://www.sciencemag.org/careers/1998/05/dual-career-scientific-couples-relocating-both-you","2019-10-27 10:03:36"
37,"https://www.sciencemag.org/careers/1998/04/dysfunctional-advisee-adviser-relationships-methods-negotiating-beyond-conflict","2019-10-27 10:03:38"
38,"https://www.sciencemag.org/careers/1999/02/stock-market-feature-index","2019-10-27 10:03:42"
39,"https://www.sciencemag.org/careers/1999/02/stock-market-traders-life","2019-10-27 10:03:44"
40,"https://www.sciencemag.org/careers/1999/02/stock-market-using-mathematics-finance","2019-10-27 10:03:46"
41,"https://www.sciencemag.org/careers/1999/02/stock-market-mathematics-finance-program-courant-institute","2019-10-27 10:03:47"
42,"https://www.sciencemag.org/careers/1999/01/partners-science-part-two-looking-and-negotiating-faculty-jobs-together","2019-10-27 10:03:49"
43,"https://www.sciencemag.org/careers/1999/01/comic-national-institutes-nine-types-principal-investigators","2019-10-27 10:03:50"
44,"https://www.sciencemag.org/careers/1999/01/finance-1-balance-sheet-annual-report-part-iv-learnins-my-mba-series","2019-10-27 10:03:52"
45,"https://www.sciencemag.org/careers/1999/01/gore-offers-366-million-computing","2019-10-27 10:03:53"
46,"https://www.sciencemag.org/careers/1999/01/comic-national-institutes-researchaholics","2019-10-27 10:03:55"
47,"https://www.sciencemag.org/careers/1999/01/what-do-when-your-advisor-goes-too-far-part-ii","2019-10-27 10:03:56"
48,"https://www.sciencemag.org/careers/1999/01/finance-1-income-statement-annual-report-part-iii-learnins-my-mba-series","2019-10-27 10:03:58"
49,"https://www.sciencemag.org/careers/1999/01/partners-science-part-one-negotiating-academic-job-market-postdocs","2019-10-27 10:03:59"
50,"https://www.sciencemag.org/careers/1999/01/forensic-science-what-you-need-know-be-forensic-scientist","2019-10-27 10:04:01"
51,"https://www.sciencemag.org/careers/1999/01/forensic-science-maggots-tell-all","2019-10-27 10:04:02"
52,"https://www.sciencemag.org/careers/1999/01/finance-1-presidents-message-annual-report-part-ii-learnins-my-mba-series","2019-10-27 10:04:03"
53,"https://www.sciencemag.org/careers/1999/01/forensic-science-making-transition-research-forensics","2019-10-27 10:04:05"
54,"https://www.sciencemag.org/careers/1999/01/forensic-science-resources-making-transition","2019-10-27 10:04:06"
55,"https://www.sciencemag.org/careers/1999/01/forensic-science-feature-index","2019-10-27 10:04:08"
56,"https://www.sciencemag.org/careers/1999/01/forensic-science-life-forensics-lab","2019-10-27 10:04:09"
57,"https://www.sciencemag.org/careers/1999/01/fighting-preservation-physician-scientist","2019-10-27 10:04:11"
58,"https://www.sciencemag.org/careers/1999/01/fighting-preservation-physician-scientist-solutions","2019-10-27 10:04:13"
59,"https://www.sciencemag.org/careers/1999/01/graduate-student-enrollments-continue-decline","2019-10-27 10:04:15"
60,"https://www.sciencemag.org/careers/1999/01/show-me-money-new-biotecanada-salary-survey-gives-us-clue","2019-10-27 10:04:16"
61,"https://www.sciencemag.org/careers/1999/01/finance-1-annual-report-part-i-learnins-my-mba-series","2019-10-27 10:04:18"
63,"https://www.sciencemag.org/careers/1999/03/intellectual-property-introduction-patents","2019-10-27 10:04:21"
64,"https://www.sciencemag.org/careers/1999/03/intellectual-property-feature-index","2019-10-27 10:04:23"
65,"https://www.sciencemag.org/careers/1999/03/intellectual-property-divying-claims-gods-blueprints","2019-10-27 10:04:24"
66,"https://www.sciencemag.org/careers/1999/03/intellectual-property-do-you-own-your-invention","2019-10-27 10:04:25"
67,"https://www.sciencemag.org/careers/1999/03/intellectual-property-protecting-patent","2019-10-27 10:04:26"
68,"https://www.sciencemag.org/careers/1999/03/stock-market-making-transition-acids-assets","2019-10-27 10:04:28"
69,"https://www.sciencemag.org/careers/1999/03/stock-market-masters-program-financial-mathematics-warwick-business-school","2019-10-27 10:04:29"
70,"https://www.sciencemag.org/careers/1999/03/europe-launches-framework-programme-5","2019-10-27 10:04:31"
71,"https://www.sciencemag.org/careers/1999/03/stock-market-foot-both-academic-and-industry-camps","2019-10-27 10:04:32"
72,"https://www.sciencemag.org/careers/1999/02/site-review-tomorrows-professor","2019-10-27 10:04:33"
73,"https://www.sciencemag.org/careers/1999/02/how-separate-ideal-employers-bad-ones-during-your-job-search","2019-10-27 10:04:35"
74,"https://www.sciencemag.org/careers/1999/02/field-report-4-how-succeed-spying-it-takes-lot-trying","2019-10-27 10:04:36"
75,"https://www.sciencemag.org/careers/1999/02/comic-national-institutes-hysteria","2019-10-27 10:04:38"
76,"https://www.sciencemag.org/careers/1999/02/disgruntled-tas-score-another-victory-uc","2019-10-27 10:04:40"
77,"https://www.sciencemag.org/careers/1999/02/site-review-uk-innovation","2019-10-27 10:04:41"
78,"https://www.sciencemag.org/careers/1999/02/finance-1-notes-annual-report-part-vi-learnins-my-mba-series","2019-10-27 10:04:42"
79,"https://www.sciencemag.org/careers/1999/02/first-encounters-behavioral-interviewing","2019-10-27 10:04:44"
80,"https://www.sciencemag.org/careers/1999/02/comic-national-institutes-gsa-contracts","2019-10-27 10:04:46"
81,"https://www.sciencemag.org/careers/1999/02/finance-1-cash-flow-statement-annual-report-part-v-learnins-my-mba-series","2019-10-27 10:04:47"
82,"https://www.sciencemag.org/careers/1999/02/stock-market-financial-mathematics-university-chicago","2019-10-27 10:04:49"
83,"https://www.sciencemag.org/careers/1999/02/comic-diagram-nih-postdocs-brain","2019-10-27 10:04:50"
84,"https://www.sciencemag.org/careers/1999/02/why-britain-must-learn-science-sexy","2019-10-27 10:04:52"
85,"https://www.sciencemag.org/careers/1999/02/stock-market-what-work-investment-bank","2019-10-27 10:04:54"
86,"https://www.sciencemag.org/careers/1999/02/stock-market-resources","2019-10-27 10:04:55"
87,"https://www.sciencemag.org/careers/1999/02/reprints-nih-revises-grant-application-procedure-hasten-process","2019-10-27 10:04:57"
88,"https://www.sciencemag.org/careers/1999/04/site-review-northern-california-pharmaceutical-discussion-group","2019-10-27 10:05:00"
89,"https://www.sciencemag.org/careers/1999/04/new-career-path-seen-young-scientists-japan","2019-10-27 10:05:02"
90,"https://www.sciencemag.org/careers/1999/04/marketing-i-part-1-introduction-part-viii-learnins-my-mba-series","2019-10-27 10:05:03"
91,"https://www.sciencemag.org/careers/1999/04/site-review-mathematical-sciences-career-information","2019-10-27 10:05:05"
